Symbol,Adj Multiple,Date,Average Price,Adj Average Price,Forward Lag  1,Prediction
CAAED,0.099737532808398963,2012-01-02 00:00:00,0.76000000000000001,7.6200000000000001,0.011844673261996121,-0.003543145426138157
YRCW,1.0,2012-01-03 00:00:00,8.6524999999999999,8.6524999999999999,0.058364634498699663,0.011301060475235995
EDMC,1.0,2012-01-04 00:00:00,24.557500000000001,24.557500000000001,-0.041433370660694191,0.02674612847697137
KNDI,1.0,2012-01-05 00:00:00,3.1299999999999999,3.1299999999999999,0.0039936102236421966,0.030369135193920163
MHO,1.0,2012-01-06 00:00:00,9.8499999999999996,9.8499999999999996,0.0010152284263957867,0.016434332801810503
IPCM,1.0,2012-01-09 00:00:00,32.555,32.555,-0.058439563815082203,0.028751949864966767
EBIX,1.0190045248868778,2012-01-10 00:00:00,22.702500000000001,22.279096358792184,-0.0089866664962462445,0.19001539207891319
ARWR,1.0,2012-01-11 00:00:00,5.2925000000000004,5.2925000000000004,-0.014170996693434138,0.22624337503084629
EDMC,1.0,2012-01-12 00:00:00,25.032499999999999,25.032499999999999,0.016778188355138342,0.014596869714688819
BSFT,1.0,2012-01-13 00:00:00,27.982500000000002,27.982500000000002,0.046546948985973571,0.013698874793479674
CAAED,0.10046728971962617,2012-01-16 00:00:00,0.85999999999999999,8.5600000000000005,0.028611538870008332,-0.0063368870105789321
ANGI,1.0,2012-01-17 00:00:00,15.5025,15.5025,0.021125624899209768,0.011112375239055923
MITL,1.0,2012-01-18 00:00:00,2.8500000000000001,2.8500000000000001,0.040350877192982582,0.010552061704147513
KWK,1.0,2012-01-19 00:00:00,5.4175000000000004,5.4175000000000004,-0.0087678818643286416,0.016874275307758622
YGE,1.0,2012-01-20 00:00:00,4.4400000000000004,4.4400000000000004,-0.02195945945945954,0.049169116311337802
PPP,1.0,2012-01-23 00:00:00,3.1175000000000002,3.1175000000000002,-0.0080192461908580315,0.010094386821716348
YGE,1.0,2012-01-24 00:00:00,4.1749999999999998,4.1749999999999998,0.012574850299401195,0.037091971529784398
SONS,1.0,2012-01-25 00:00:00,2.5924999999999998,2.5924999999999998,0.0038572806171648369,0.13075143904761946
PLAB,1.0,2012-01-26 00:00:00,7.2324999999999999,7.2324999999999999,-0.0065675769097821579,0.02135415336347057
DHT,0.093851132686084165,2012-01-27 00:00:00,0.82750000000000001,8.8171551724137931,0.1868881583213966,0.011982362001283123
INSM,1.0,2012-01-30 00:00:00,4.8375000000000004,4.8375000000000004,-0.0010335917312661589,0.018137613667847077
YRCW,1.0,2012-01-31 00:00:00,12.585000000000001,12.585000000000001,0.014898688915375491,0.015480964614273613
KWK,1.0,2012-02-01 00:00:00,4.5625,4.5625,0.075616438356164606,0.0095017404562589593
KWK,1.0,2012-02-02 00:00:00,4.9075000000000015,4.9075000000000015,0.071319409067753359,0.021176821108221361
VTG,1.0,2012-02-03 00:00:00,1.2925,1.2925,-0.0019342359767891004,0.055332293155103865
WGO,1.0,2012-02-06 00:00:00,9.9299999999999997,9.9299999999999997,0.028700906344410807,0.03794550994011936
NSU,1.0891089108910892,2012-02-07 00:00:00,4.6974999999999998,4.3131590909090924,-0.074314151738830825,0.025324778992297001
YRCW,1.0,2012-02-08 00:00:00,13.397500000000001,13.397500000000001,-0.017913789886172649,0.014372937198933738
NSU,1.0873015873015874,2012-02-09 00:00:00,4.1600000000000001,3.8259854014598536,-0.035751678876678739,0.03859987359215291
POWL,1.0077797725912627,2012-02-10 00:00:00,33.715000000000003,33.45472980997625,0.010228066288007652,0.016257300386684732
CSU,1.0,2012-02-13 00:00:00,8.7074999999999996,8.7074999999999996,0.0017226528854437095,0.020101091383887253
RECN,1.0410094637223974,2012-02-14 00:00:00,13.185,12.665590909090909,0.0015189072638188694,0.037964897550097854
ANIK,1.0,2012-02-15 00:00:00,11.262499999999999,11.262499999999999,-0.019311875693673763,0.017055348363753532
ARRY,1.0,2012-02-16 00:00:00,2.8199999999999998,2.8199999999999998,0.0097517730496454735,0.070100570109714599
NSU,1.0891364902506964,2012-02-17 00:00:00,3.9449999999999998,3.6221355498721226,0.0053759695242687755,0.017880679295181015
CAAED,0.10043668122270742,2012-02-20 00:00:00,0.92000000000000004,9.1600000000000001,0.018570565827371599,0.0012400278115000715
YGE,1.0,2012-02-21 00:00:00,4.8274999999999997,4.8274999999999997,-0.079751424132573731,0.14641576904590245
GDOT,1.0,2012-02-22 00:00:00,30.967500000000001,30.967500000000001,0.0032291918947282561,0.038890400141685197
VVUS,1.0,2012-02-23 00:00:00,19.852499999999999,19.852499999999999,0.035385971540108363,0.14914727483048187
LABL,1.0157917200170721,2012-02-24 00:00:00,23.719999999999999,23.351243697478992,-0.012643742168897298,0.84387136964048715
VVUS,1.0,2012-02-27 00:00:00,23.690000000000001,23.690000000000001,-0.038201772899957853,0.037266982708831164
LONG,1.0,2012-02-28 00:00:00,16.684999999999999,16.684999999999999,-0.031465388073119493,0.01385143724864496
VVUS,1.0,2012-02-29 00:00:00,22.57,22.57,0.0024368630926008268,0.020324981997073992
DHT,0.091139240506329128,2012-03-01 00:00:00,1.1025,12.096875000000001,-0.02047901981769196,0.024858057902916057
VVUS,1.0,2012-03-02 00:00:00,21.997499999999999,21.997499999999999,-0.015229003295829104,0.034265501292793189
VVUS,1.0,2012-03-05 00:00:00,21.662500000000001,21.662500000000001,-0.035776110790536553,0.045300042386072617
VVUS,1.0,2012-03-06 00:00:00,20.887499999999999,20.887499999999999,0.035667265110711936,0.027298155984407785
