Symbol,Adj Multiple,Date,Open,Adj Open,Forward Lag  3,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5,Lag 6,Lag 7,Lag 8,Lag 9,Lag 10,Lag 11,Lag 12,Lag 13,Lag 14,Lag 15,Lag 16,Lag 17,Lag 18,Lag 19,Lag 20
ACY,1.0,2004-12-08,2.6,2.6,-0.011538461538461608,-0.022556390977443663,-0.03703703703703709,-0.05797101449275355,0.040000000000000036,-0.03703703703703709,-0.054545454545454564,-0.08450704225352101,-0.08450704225352101,-0.06810035842293904,-0.06810035842293904,-0.06810035842293904,-0.07142857142857129,-0.14473684210526316,-0.12457912457912457,-0.13043478260869568,-0.11864406779661019,-0.1333333333333333,-0.1333333333333333,-0.14191419141914186,-0.14191419141914186
ACY,1.0,1998-08-25,6.25,6.25,-0.08333333333333337,0.0,-0.02037617554858928,0.0212418300653594,0.0212418300653594,0.0212418300653594,0.08695652173913038,0.04166666666666674,0.05218855218855212,0.0212418300653594,0.0,0.0,0.04166666666666674,0.04166666666666674,0.0,0.0,-0.038461538461538436,-0.0558912386706949,-0.02037617554858928,-0.02037617554858928,-0.02037617554858928
ACY,1.0,2005-10-04,4.14,4.14,-0.03037974683544309,-0.03614457831325313,-0.08045977011494243,-0.09090909090909094,-0.06759906759906764,-0.07407407407407418,-0.06323185011709598,-0.029126213592232997,-0.022004889975550057,0.0,0.0025062656641603454,0.020408163265306145,0.012658227848101111,0.044386422976501194,0.06951871657753994,0.07526881720430101,0.08108108108108092,0.05263157894736836,0.058201058201058364,0.07816711590296488,0.08695652173913038
ACY,1.0,2003-09-19,3.5,3.5,0.005698005698005604,-0.005681818181818232,0.0,-0.008498583569405027,-0.02506963788300831,-0.02777777777777779,-0.03314917127071826,-0.08854166666666663,-0.08854166666666663,-0.08854166666666663,-0.08854166666666663,-0.041095890410958846,-0.051490514905149,-0.041095890410958846,-0.02777777777777779,0.12903225806451601,0.12903225806451601,0.16666666666666674,0.16666666666666674,0.16666666666666674,0.16666666666666674
ACY,1.0,2001-01-09,4.88,4.88,0.03950103950103956,0.0,0.05555555555555558,0.05555555555555558,0.05555555555555558,0.0,0.08447488584474883,0.05555555555555558,0.02813852813852802,0.0,0.0,-0.050000000000000044,-0.050000000000000044,-0.09523809523809523,-0.1054613935969867,-0.1054613935969867,-0.1054613935969867,-0.11710037174721188,-0.11710037174721188,-0.17391304347826086,-0.17391304347826086
ACY,1.0,2000-10-24,5.62,5.62,-0.010791366906474753,0.0,0.04460966542750944,0.04460966542750944,0.04460966542750944,0.04460966542750944,0.07047619047619058,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.021818181818181737,0.0,-0.022608695652173938,-0.03270223752151458,-0.05387205387205396,-0.06333333333333335
ACY,1.0,2007-04-17,14.12,14.12,-0.013062409288824406,0.007902298850574585,0.007902298850574585,-0.027045769764216354,0.025584795321637488,-0.01127554615926707,-0.008480565371024817,0.045454545454545414,-0.045578231292517035,-0.09132124352331605,-0.0590207914151577,-0.07818659658344296,-0.08360548661005884,-0.10351437699680521,-0.06962864721485418,-0.10750636132315528,-0.10006414368184735,-0.0787918581746554,-0.12421972534332082,-0.13767670559311618,-0.18901734104046253
ACY,1.0,2001-05-03,4.85,4.85,0.05154639175257736,0.0,0.0,0.01041666666666674,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,-0.020202020202020332,0.04301075268817178,0.05434782608695654,0.021052631578947212,0.06593406593406592,0.040772532188841026,0.0,-0.002057613168724437,0.0,-0.010204081632653184,-0.020202020202020332,-0.020202020202020332,-0.010204081632653184,-0.010204081632653184
ACY,1.0,2007-11-19,20.1,20.1,-0.18278529980657643,0.0024038461538462563,0.15833333333333344,0.12702702702702706,0.16091314031180404,0.14246575342465762,0.12763656030286663,0.11318739989321958,0.5559701492537314,0.5444444444444445,0.4059339177343224,0.3717105263157896,0.36274509803921573,0.41836734693877564,0.34602969657843774,0.3826259946949604,0.3835434638354347,0.35565669700910285,0.3574218750000002,0.3583061889250816,0.3900000000000001
ACY,1.0,2012-11-28,12.95,12.95,-0.02207001522070018,-0.01607963246554367,-0.0023291925465839247,-0.01908396946564883,-0.02577710386656562,-0.04247391952309987,-0.04247391952309987,-0.012298232129131503,-0.03961136023916301,-0.03383458646616544,-0.030188679245283012,0.0239043824701195,0.0239043824701195,0.06639004149377592,0.04471544715447151,-0.0015540015540015384,0.025538707102952918,0.03629032258064502,0.015810276679841806,0.02065131056393965,0.09361702127659566
ACY,1.0,2005-04-05,3.06,3.06,0.22670807453416142,0.05161290322580636,0.003076923076922977,-0.0060975609756097615,0.05161290322580636,0.06885245901639347,-0.03550295857988173,-0.09444444444444455,-0.12129380053908356,-0.14210526315789473,-0.1306666666666667,-0.15104166666666674,-0.14210526315789473,-0.23113207547169823,-0.304904051172708,-0.33469387755102054,-0.37667304015296377,-0.36328125,-0.4427350427350427,-0.5022900763358779,-0.44557823129251706
ACY,1.0,2004-02-23,3.21,3.21,0.032786885245901676,-0.0757575757575758,-0.0757575757575758,-0.06153846153846154,-0.06153846153846154,-0.06441717791411039,-0.04687500000000011,-0.04687500000000011,-0.04687500000000011,-0.04687500000000011,-0.0757575757575758,-0.043887147335423204,-0.043887147335423204,-0.04687500000000011,-0.1643835616438356,-0.04687500000000011,-0.05572755417956665,-0.0032679738562092497,-0.043887147335423204,-0.08132530120481929,-0.08132530120481929
ACY,1.0,2014-03-14,17.14,17.14,0.04014598540145986,0.0,-0.051466519092418395,0.0,-0.03653738055087119,-0.020571428571428574,-0.018889524899828203,-0.04245810055865906,-0.04671857619577302,-0.03707865168539326,-0.051466519092418395,-0.051466519092418395,-0.05199115044247771,-0.0684782608695651,-0.0684782608695651,-0.09312169312169305,-0.09408033826638484,-0.09503695881731788,-0.09694415173867232,-0.0684782608695651,-0.028895184135977248
ACY,1.0,2007-09-06,14.05,14.05,0.02464788732394374,0.05152394775036284,0.04020100502512558,0.03131672597864754,0.02042253521126769,0.013286713286713159,0.004854368932038833,-0.02620967741935487,0.003462603878116477,0.09441087613293053,0.07572383073496658,0.06622516556291402,0.03648068669527893,0.03870967741935494,0.11375864719446582,-0.010921501706484649,0.03131672597864754,-0.014285714285714235,0.0027681660899654403,-0.06816720257234732,-0.1180766889835666
